WFOID,IPNID,scientificName,authorship,namePublishedin,Genus,nomenclaturalStatus,originalName,originalNameAuthor
wfo-1000087584,urn:lsid:ipni.org:names:77374983-1,Verbenaceae,Tamonea australis,(Moldenke) P.H.Cardoso,Willdenowia 55(1): 360. 2025 [30 Oct 2025] [epublished],Tamonea,,Verbenaceae Ghinia curassavica (L.) Oken var. australis Moldenke,(Moldenke)
wfo-1000087585,urn:lsid:ipni.org:names:77374984-1,Verbenaceae,Tamonea maxima,P.H.Cardoso,Willdenowia 55(1): 365. 2025 [30 Oct 2025] [epublished],Tamonea,,,
wfo-1000087586,urn:lsid:ipni.org:names:77374985-1,Verbenaceae,Tamonea parvifolia,(Moldenke) P.H.Cardoso,Willdenowia 55(1): 368. 2025 [30 Oct 2025] [epublished],Tamonea,,Verbenaceae Ghinia curassavica (L.) Oken f. parvifolia Moldenke,(Moldenke)
wfo-1000087587,urn:lsid:ipni.org:names:77374986-1,Verbenaceae,Tamonea pubescens,P.H.Cardoso,Willdenowia 55(1): 369. 2025 [30 Oct 2025] [epublished],Tamonea,,,
wfo-1200116665,urn:lsid:ipni.org:names:77374987-1,Rhamnaceae,Paliurus aculeatus,Desf.,Fl. Atlant. 1: 199. 1798 ,Paliurus,nom. superfl.,,
wfo-1000087588,urn:lsid:ipni.org:names:77374994-1,Lauraceae,Aiouea triplinervis,(Griseb.) Lorea-Hern.,Fl. Mesoamer. 2(1): 144. 2025 [Nov 2025] ,Aiouea,,Lauraceae Phoebe triplinervis Griseb.,(Griseb.)
wfo-0000774967,urn:lsid:ipni.org:names:77375044-1,Lecythidaceae,Barringtonia racemosa var. subcuneata,Miq.,Fl. Ned. Ind. 1(1): 486. 1855 ,Barringtonia,,,
wfo-4100006381,urn:lsid:ipni.org:names:77375060-1,Lecythidaceae,subfam. Planchonioideae,Nied.,Nat. Pflanzenfam. [Engler & Prantl] 3(7): 29-30. 1892 [Jun 1892] ,,,,
wfo-1200116571,urn:lsid:ipni.org:names:77375061-1,Actinidiaceae,Saurauia naumannii var. longipedunculata,Kaneh. & Hatus.,Bot. Mag. (Tokyo) 57: 70. 1943 [20 Feb 1943] ,Saurauia,,,
wfo-1000087607,urn:lsid:ipni.org:names:77375064-1,Alliaceae,Allium paludicola,"Z.H.Chen, Yue L.Xu & J.F.Wang",Phytotaxa 737(3): 142. 2026 [14 Jan 2026] [epublished],Allium,,,
